RAOB/CSV, Chiang Rai Combination Profile,,,,,,,
INFO:1,example for education,,,,,,,
INFO:2,example for education,,,,,,,
DTG, 2023-03-31 23:50:00,,,,,,,
LAT,20, N,,,,,,
LON,99.9, E,,,,,,
ELEV,389,,,,,,,
TEMPERATURE, C,,,,,,,
MOISTURE, TD,,,,,,,
WIND, kts,,,,,,,
GPM, AGL,,,,,,,
MISSING,-999,,,,,,,
SORT, YES,,,,,,,
RAOB/DATA,,,,,,,,
PRES, TEMP, TD, WIND, SPEED, GPM, VapDen, LiqWat, WSPEED
483.1,-11.3,-32.3,-999,-999,5650,0.3,0,-999
480,-11.5,-32.9,-999,-999,5700,0.3,0,-999
476.8,-11.8,-33.4,-999,-999,5750,0.3,0,-999
473.7,-12.1,-34,-999,-999,5800,0.3,0,-999
470.7,-12.4,-34.5,-999,-999,5850,0.3,0,-999
467.6,-12.7,-35.1,-999,-999,5900,0.3,0,-999
464.5,-13,-35.6,-999,-999,5950,0.3,0,-999
461.4,-13.3,-36.2,-999,-999,6000,0.3,0,-999
458.4,-13.6,-36.6,-999,-999,6050,0.3,0,-999
455.4,-13.8,-37,-999,-999,6100,0.3,0,-999
452.5,-14.1,-37.5,-999,-999,6150,0.3,0,-999
449.5,-14.4,-37.9,-999,-999,6200,0.2,0,-999
446.5,-14.7,-38.3,-999,-999,6250,0.2,0,-999
443.6,-15,-38.8,-999,-999,6300,0.2,0,-999
440.6,-15.3,-39.2,-999,-999,6350,0.2,0,-999
437.7,-15.5,-39.7,-999,-999,6400,0.2,0,-999
434.8,-15.8,-40.1,-999,-999,6450,0.2,0,-999
431.9,-16.1,-40.6,-999,-999,6500,0.2,0,-999
429.1,-16.4,-40.9,-999,-999,6550,0.2,0,-999
426.3,-16.7,-41.2,-999,-999,6600,0.2,0,-999
423.4,-17,-41.5,-999,-999,6650,0.2,0,-999
420.6,-17.3,-41.8,-999,-999,6700,0.2,0,-999
417.8,-17.6,-42.1,-999,-999,6750,0.2,0,-999
415,-17.8,-42.2,-999,-999,6800,0.2,0,-999
412.2,-18.1,-42.3,-999,-999,6850,0.2,0,-999
409.5,-18.4,-42.4,-999,-999,6900,0.2,0,-999
406.7,-18.7,-42.6,-999,-999,6950,0.2,0,-999
404,-19,-42.7,-999,-999,7000,0.2,0,-999
401.3,-19.2,-42.8,-999,-999,7050,0.2,0,-999
398.6,-19.5,-43,-999,-999,7100,0.2,0,-999
396,-19.8,-43.1,-999,-999,7150,0.2,0,-999
393.3,-20.1,-43.3,-999,-999,7200,0.2,0,-999
390.6,-20.4,-43.5,-999,-999,7250,0.1,0,-999
388,-20.7,-43.5,-999,-999,7300,0.1,0,-999
385.4,-21,-43.6,-999,-999,7350,0.1,0,-999
382.8,-21.3,-43.7,-999,-999,7400,0.2,0,-999
380.2,-21.6,-43.7,-999,-999,7450,0.2,0,-999
377.6,-21.9,-43.8,-999,-999,7500,0.2,0,-999
375,-22.2,-43.8,-999,-999,7550,0.2,0,-999
372.5,-22.4,-43.8,-999,-999,7600,0.2,0,-999
370,-22.7,-43.9,-999,-999,7650,0.2,0,-999
367.4,-23,-43.9,-999,-999,7700,0.2,0,-999
364.9,-23.3,-43.9,-999,-999,7750,0.2,0,-999
362.5,-23.6,-44.1,-999,-999,7800,0.2,0,-999
360,-23.9,-44.3,-999,-999,7850,0.2,0,-999
357.5,-24.2,-44.6,-999,-999,7900,0.2,0,-999
355.1,-24.4,-44.8,-999,-999,7950,0.2,0,-999
352.6,-24.7,-45,-999,-999,8000,0.2,0,-999
350.2,-25,-45.2,-999,-999,8050,0.1,0,-999
347.8,-25.3,-45.4,-999,-999,8100,0.1,0,-999
345.4,-25.6,-45.6,-999,-999,8150,0.1,0,-999
343.1,-25.9,-45.8,-999,-999,8200,0.1,0,-999
340.7,-26.2,-46,-999,-999,8250,0.1,0,-999
338.3,-26.6,-46.2,-999,-999,8300,0.1,0,-999
336,-26.9,-46.5,-999,-999,8350,0.1,0,-999
333.7,-27.3,-46.8,-999,-999,8400,0.1,0,-999
331.4,-27.6,-47,-999,-999,8450,0.1,0,-999
329,-28,-47.3,-999,-999,8500,0.1,0,-999
326.8,-28.3,-47.6,-999,-999,8550,0.1,0,-999
324.5,-28.6,-47.9,-999,-999,8600,0.1,0,-999
322.3,-28.8,-48.1,-999,-999,8650,0.1,0,-999
320,-29.1,-48.4,-999,-999,8700,0.1,0,-999
317.7,-29.4,-48.7,-999,-999,8750,0.1,0,-999
315.5,-29.8,-48.9,-999,-999,8800,0.1,0,-999
313.3,-30.1,-49.1,-999,-999,8850,0.1,0,-999
311.1,-30.4,-49.3,-999,-999,8900,0.1,0,-999
308.9,-30.8,-49.5,-999,-999,8950,0.1,0,-999
306.7,-31.1,-49.7,-999,-999,9000,0.1,0,-999
304.6,-31.4,-50,-999,-999,9050,0.1,0,-999
302.5,-31.8,-50.3,-999,-999,9100,0.1,0,-999
300.3,-32.1,-50.6,-999,-999,9150,0.1,0,-999
298.2,-32.5,-50.9,-999,-999,9200,0.1,0,-999
296.1,-32.8,-51.2,-999,-999,9250,0.1,0,-999
294,-33.1,-51.4,-999,-999,9300,0.1,0,-999
291.9,-33.4,-51.7,-999,-999,9350,0.1,0,-999
289.8,-33.8,-52,-999,-999,9400,0.1,0,-999
287.8,-34.1,-52.3,-999,-999,9450,0.1,0,-999
285.7,-34.4,-52.5,-999,-999,9500,0.1,0,-999
283.7,-34.7,-52.7,-999,-999,9550,0.1,0,-999
281.7,-35.1,-53,-999,-999,9600,0.1,0,-999
279.7,-35.4,-53.2,-999,-999,9650,0.1,0,-999
277.6,-35.8,-53.4,-999,-999,9700,0.1,0,-999
275.6,-36.1,-53.6,-999,-999,9750,0.1,0,-999
273.7,-36.5,-53.9,-999,-999,9800,0.1,0,-999
271.7,-36.8,-54.2,-999,-999,9850,0.1,0,-999
269.7,-37.1,-54.4,-999,-999,9900,0.1,0,-999
267.8,-37.5,-54.7,-999,-999,9950,0.1,0,-999
265.8,-37.8,-55,-999,-999,10000,0,0,-999
